inicio,varinicio,varfim,PT_V,id,Vir,inteiro,real,lit,leia,escreva,Literal,Num,RCB,OPM,se,AB_P,FC_P,entao,OPR,fimse,facaAte,fimFaca,fim,$
s2,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,acc
,s4,,,,,,,,,,,,,,,,,,,,,,,
,,,,s13,,,,,s11,s12,,,,,s16,,,,,,s15,,s10,
,,s19,,,,s21,s22,s23,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,r1
,,,,s13,,,,,s11,s12,,,,,s16,,,,,,s15,,s10,
,,,,s13,,,,,s11,s12,,,,,s16,,,,,,s15,,s10,
,,,,s13,,,,,s11,s12,,,,,s16,,,,,,s15,,s10,
,,,,s13,,,,,s11,s12,,,,,s16,,,,,,s15,,s10,
,,,,,,,,,,,,,,,,,,,,,,,,r37
,,,,s28,,,,,,,,,,,,,,,,,,,,
,,,,s32,,,,,,,s30,s31,,,,,,,,,,,,
,,,,,,,,,,,,,s33,,,,,,,,,,,
,,,,s13,,,,,s11,s12,,,,,s16,,,,,s38,,,,
,,,,,,,,,,,,,,,,s39,,,,,,,,
,,,,,,,,,,,,,,,,s40,,,,,,,,
,,,,r2,,,,,r2,r2,,,,,r2,,,,,,r2,,r2,
,,s19,,,,s21,s22,s23,,,,,,,,,,,,,,,,
,,,s42,,,,,,,,,,,,,,,,,,,,,
,,,,s44,,,,,,,,,,,,,,,,,,,,
,,,,r8,,,,,,,,,,,,,,,,,,,,
,,,,r9,,,,,,,,,,,,,,,,,,,,
,,,,r10,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,r11
,,,,,,,,,,,,,,,,,,,,,,,,r17
,,,,,,,,,,,,,,,,,,,,,,,,r23
,,,,,,,,,,,,,,,,,,,,,,,,r31
,,,s45,,,,,,,,,,,,,,,,,,,,,
,,,s46,,,,,,,,,,,,,,,,,,,,,
,,,r14,,,,,,,,,,,,,,,,,,,,,
,,,r15,,,,,,,,,,,,,,,,,,,,,
,,,r16,,,,,,,,,,,,,,,,,,,,,
,,,,s49,,,,,,,,s50,,,,,,,,,,,,
,,,,r24,,,,,r24,r24,,,,,r24,,,,,r24,r24,r24,r24,
,,,,s13,,,,,s11,s12,,,,,s16,,,,,s38,,,,
,,,,s13,,,,,s11,s12,,,,,s16,,,,,s38,,,,
,,,,s13,,,,,s11,s12,,,,,s16,,,,,s38,,,,
,,,,r30,,,,,r30,r30,,,,,r30,,,,,r30,r30,r30,r30,
,,,,s49,,,,,,,,s50,,,,,,,,,,,,
,,,,s49,,,,,,,,s50,,,,,,,,,,,,
,,,,r3,,,,,r3,r3,,,,,r3,,,,,,r3,,r3,
,,,,r4,,,,,r4,r4,,,,,r4,,,,,,r4,,r4,
,,,s57,,,,,,,,,,,,,,,,,,,,,
,,,r7,,s58,,,,,,,,,,,,,,,,,,,
,,,,r12,,,,,r12,r12,,,,,r12,,,,,r12,r12,r12,r12,
,,,,r13,,,,,r13,r13,,,,,r13,,,,,r13,r13,r13,r13,
,,,s59,,,,,,,,,,,,,,,,,,,,,
,,,r20,,,,,,,,,,,s60,,,,,,,,,,
,,,r21,,,,,,,,,,,r21,,,r21,,r21,,,,,
,,,r22,,,,,,,,,,,r22,,,r22,,r22,,,,,
,,,,r27,,,,,r27,r27,,,,,r27,,,,,r27,r27,r27,r27,
,,,,r28,,,,,r28,r28,,,,,r28,,,,,r28,r28,r28,r28,
,,,,r29,,,,,r29,r29,,,,,r29,,,,,r29,r29,r29,r29,
,,,,,,,,,,,,,,,,,s61,,,,,,,
,,,,,,,,,,,,,,,,,,,s62,,,,,
,,,,,,,,,,,,,,,,,s63,,,,,,,
,,r5,,,,r5,r5,r5,,,,,,,,,,,,,,,,
,,,,s44,,,,,,,,,,,,,,,,,,,,
,,,,r18,,,,,r18,r18,,,,,r18,,,,,r18,r18,r18,r18,
,,,,s49,,,,,,,,s50,,,,,,,,,,,,
,,,,s13,,,,,s11,s12,,,,,s16,,,,,,,s70,,
,,,,s49,,,,,,,,s50,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,s72,,,,,,
,,,r6,,,,,,,,,,,,,,,,,,,,,
,,,r19,,,,,,,,,,,,,,,,,,,,,
,,,,r32,,,,,r32,r32,,,,,r32,,,,,,r32,,r32,
,,,,s13,,,,,s11,s12,,,,,s16,,,,,,,s70,,
,,,,s13,,,,,s11,s12,,,,,s16,,,,,,,s70,,
,,,,s13,,,,,s11,s12,,,,,s16,,,,,,,s70,,
,,,,r36,,,,,r36,r36,,,,,r36,,,,,,r36,,r36,
,,,,,,,,,,,,,,,,,r26,,,,,,,
,,,,r25,,,,,r25,r25,,,,,r25,,,,,r25,,,,
,,,,r33,,,,,r33,r33,,,,,r33,,,,,,r33,,r33,
,,,,r34,,,,,r34,r34,,,,,r34,,,,,,r34,,r34,
,,,,r35,,,,,r35,r35,,,,,r35,,,,,,r35,,r35,
